microsample	richness	neutral	phylogenetic	section	type	batch	cryosection	buffer	Xcoord	Ycoord	size	collection_method	collection	collection_attempts	cycles	animal	protocol	adapter	type_binomial	fastp_total_before_filtering.total_reads	fastp_total_after_filtering.total_reads	fastp_total_low_quality_reads	fastp_total_adapter_trimmed_reads	fastp_total_total_polyx_trimmed_reads	fastp_total_polyx_trimmed_reads.A	fastp_total_polyx_trimmed_reads.T	fastp_total_polyx_trimmed_reads.C	fastp_total_polyx_trimmed_reads.G	fastp_total_before_filtering.total_bases	fastp_total_after_filtering.total_bases	fastp_total_adapter_trimmed_bases	fastp_total_total_polyx_trimmed_bases	fastp_total_polyx_trimmed_bases.A	fastp_total_polyx_trimmed_bases.T	fastp_total_polyx_trimmed_bases.C	fastp_total_polyx_trimmed_bases.G	fastp_avg_before_filtering.gc_content	fastp_avg_after_filtering.gc_content	fastp_avg_duplication.rate	raw_sequences_chicken	raw_sequences_human	raw_sequences_pig	reads_mapped_chicken	reads_mapped_human	reads_mapped_pig	reads_unmapped_chicken	reads_unmapped_human	reads_unmapped_pig	raw_sequences_bacteria	reads_mapped_bacteria	reads_unmapped_bacteria	mapbac_counts_unfilt	mapbac_counts_filt	sgm_microbial_fraction	sgm_average_bacterial_archaeal_genome_size	np_Redundancy	np_Coverage	np_Diversity	kr_Eukaryota	kr_Bacteria	kr_Archaea	kr_Viruses	kr_total	kr_Bacteria_pct	genome_count_filtering30	seq_yield	seq_yield_filtered	low_quality_pct	adapter_contamination_pct	mapping_host_pct	mapping_human_pct	mapping_pig_pct	seq_yield_bacteria	mapping_bacteria_total_pct	mapping_bacteria_filtered_pct	mapping_reference_pct	bacteria_retained_pct
M301570	76	35.335708197828964	4.071173453243574	Caecum right	Positive	MSEB0015	G121eI104C	B11	10622.69968	46523.96506	5000	Lid8_Covaris_500639	Success	2	15	G121e	ULV2_Half	TecanSI_A_8nt	positive	43862910	42561828	540696	2283151	83346	29521	30621	16198	7006	6579436500	6344290855	49102982	1840876	301729	341698	877468	319981	0.510609	0.505585	0.364672	42561828	42542860	42017544	14868	520960	1108	42546960	42021900	42016436	42015444	34658503	7356941	34658503	32071419	0.7579	2662518	0.962	0.9652	18.0399	8516395	2020124	18157	229481	10784157	0.1873233114095056	retained	43862910	42561828	0.02966246425510756	0.00746309839756033	3.3896519861541333e-4	0.0118770049684346	2.5260521930715497e-5	42015444	0.7901551219469934	0.814309549862379	0.8248991251883474	0.9253549987430212
M301571	76	35.17436896987177	4.107681929923365	Caecum right	Positive	MSEB0015	G121eI104C	B11	11163.68876	46464.93372	5000	Lid8_Covaris_500639	Success	1	15	G121e	ULV2_Half	TecanSI_A_8nt	positive	37778018	36808806	499490	1786460	71042	25335	26411	14060	5236	5666702700	5489301701	32549532	1507001	256094	283397	739507	228003	0.507615	0.503889	0.225816	36808806	36798602	36512102	7359	284168	805	36801447	36514434	36511297	36510590	29722154	6788436	29722154	27554713	0.7648999999999999	2647009	0.9374	0.9426	18.1778	7427575	1683827	15664	191166	9318232	0.1807024122172532	retained	37778018	36808806	0.0256554486262355	0.0057439985337505	1.947958201512848e-4	0.00752204628628214	2.130868803122493e-5	36510590	0.7867578971453717	0.8074740049976085	0.8140693973994942	0.927076584018776
M301572	70	34.31172044973394	3.8621016780928903	Caecum right	Positive	MSEB0015	G121eI104C	B11	11574.91644	46452.86654	5000	Lid8_Covaris_500639	Success	1	15	G121e	ULV2_Half	TecanSI_A_8nt	positive	48519284	46781100	672290	2581029	93130	32002	33734	17860	9534	7277892600	6969206161	48996042	2207789	327343	393709	992487	494250	0.512328	0.506254	0.429738	46781100	46766298	46076260	8022	685103	1821	46773078	46081195	46074439	46072762	38008913	8063849	38008913	35022146	0.7401000000000001	2686091	0.9693	0.9719	17.9921	9197015	2298737	20423	253111	11769286	0.19531660629200445	retained	48519284	46781100	0.03582460120392543	0.00673217436596962	1.6533632277013815e-4	0.01412022073532659	3.753146893099247e-5	46072762	0.7833774504998878	0.8124843793754315	0.82497578504193	0.921419299731092
M301573	78	35.13873147823176	4.032494666476065	Caecum right	Positive	MSEB0015	G121eI104C	B11	12078.09608	46438.84252	5000	Lid8_Covaris_500639	Success	1	15	G121e	ULV2_Half	TecanSI_A_8nt	positive	45676734	44480162	539164	2656277	84219	30341	31036	15855	6987	6851510100	6620392709	52259239	1786248	307634	341756	830105	306753	0.511546	0.50748	0.372789	44480162	44470702	43869818	5459	596665	1156	44474703	43874037	43868662	43867644	36039113	7828531	36039113	33433990	0.7243999999999999	2630800	0.9562	0.9599	18.1083	8907257	2119115	19597	233282	11279251	0.1878772801491872	retained	45676734	44480162	0.0261965314770535	0.00762740450459235	1.1951379886311488e-4	0.01306277721169819	2.530828933609833e-5	43867644	0.7890037190487393	0.8102289060907647	0.8215420230910965	0.9277140089435608
M301576	73	35.04267517158643	3.9445545003661793	Caecum right	Positive	MSEB0015	G121eI104C	B11	13566.0359	46499.60456	5000	Lid8_Covaris_500639	Success	1	15	G121e	ULV2_Half	TecanSI_A_8nt	positive	48076216	47079266	507996	2435348	88413	31855	32189	17845	6524	7211432400	7019995508	42440649	1851395	329248	348851	933853	239443	0.514661	0.511817	0.439256	47079266	47001724	46234054	73800	762355	987	47005466	46239369	46233067	46232370	36823598	9408772	36823598	33886008	0.7404999999999999	2684474	0.9644	0.9674	18.112	9494470	2319182	20795	247405	12081852	0.19195583590992507	retained	48076216	47079266	0.02073686498122065	0.00588518988266464	0.00153506257647232	0.01585721721526502	2.0529901937373772e-5	46232370	0.7659421032637012	0.7821616845088452	0.7964895158954646	0.9202253402831522
M301577	81	37.82559483214021	3.962590944828052	Caecum right	Positive	MSEB0015	G121eI104C	B11	13976.23738	46491.45106	5000	Lid8_Covaris_500639	Success	1	15	G121e	ULV2_Half	TecanSI_A_8nt	positive	46353568	45148352	574490	2372746	81005	27846	29385	16616	7158	6953035200	6730525019	42216984	1796258	282015	320621	885959	307663	0.519199	0.515401	0.234378	45148352	45092776	44831488	51328	258917	994	45097024	44833859	44830494	44829554	36938646	7890908	36938646	34279977	0.7696	2697418	0.9494	0.9536	18.1365	8728858	2011339	20386	242409	11002992	0.18279927859622183	retained	46353568	45148352	0.02600050119119201	0.00607173454263542	0.00110731497519241	0.00558569730813386	2.144387245443544e-5	44829554	0.7968889471464203	0.8181615577020397	0.8239797790537912	0.9280247305220662
M301578	75	34.52023786322485	4.010095037134908	Caecum right	Positive	MSEB0015	G121eI104C	B11	12406.356	44865.24284	5000	Lid8_Covaris_500639	Success	1	15	G121e	ULV2_Half	TecanSI_A_8nt	positive	50340662	48879096	653094	1691264	102283	36246	38071	19492	8474	7551099300	7303421903	29069016	2258458	372618	423031	1054791	408018	0.509474	0.504762	0.394443	48879096	48667284	47846054	204401	814150	1489	48674695	47853134	47844565	47843250	37355635	10487615	37355635	34519196	0.7461	2652764	0.9591	0.9626	18.1733	10177527	2482998	19251	247733	12927509	0.19207087769190492	retained	50340662	48879096	0.02903350774370031	0.00384964027687995	0.00406035582130405	0.01617281075882554	2.9578474752676076e-5	47843250	0.7420568883261806	0.7642456194361696	0.7807921702643529	0.9240693137728752
M301579	73	31.49108127777345	4.007569507337656	Caecum right	Positive	MSEB0015	G121eI104C	B11	12373.86814	45172.40334	5000	Lid8_Covaris_500639	Success	1	15	G121e	ULV2_Half	TecanSI_A_8nt	positive	48934136	48002242	522460	2127252	91516	33564	35322	16935	5695	7340120400	7166060227	34729739	1849052	341284	372845	939978	194945	0.502925	0.50043	0.484593	48002242	47937468	47424736	61993	509304	662	47940249	47428164	47424074	47423558	38635570	8787988	38635570	35599243	0.7383	2597723	0.9737	0.976	17.9786	9878902	2281405	19897	249175	12429379	0.1835493953479092	retained	48934136	48002242	0.01904384293205871	0.00473149445886473	0.00126686614023388	0.0104079491666104	1.3528388444418433e-5	47423558	0.7895422941563738	0.8048701141917496	0.8146915083849254	0.9214110986326848
M301580	69	32.64053616779891	3.9901160831906144	Caecum right	Positive	MSEB0015	G121eI104C	B11	12519.61496	45558.77052	5000	Lid8_Covaris_500639	Success	1	15	G121e	ULV2_Half	TecanSI_A_8nt	positive	49507664	48021550	638456	1992899	92876	32969	33995	17266	8646	7426149600	7170422201	33365448	2031493	338247	384010	906895	402341	0.513604	0.508896	0.541407	48021550	48009368	47104140	6709	899119	1548	48014841	47110249	47102592	47101216	38943142	8158074	38943142	35867925	0.7553	2671592	0.9781	0.9799	17.9005	9397873	2386743	20485	252746	12057847	0.1979410586317773	retained	49507664	48021550	0.03001785743718386	0.00449296739187694	1.3551437207782617e-4	0.01816120833331986	3.1267886119611705e-5	47101216	0.7866083521937128	0.8109513749556189	0.8267969557303998	0.9210331564926116
M301582	72	33.838496184116245	3.9312922960448855	Caecum right	Positive	MSEB0015	G121eI104C	B11	12463.19274	46128.53866	5000	Lid8_Covaris_500639	Success	1	15	G121e	ULV2_Half	TecanSI_A_8nt	positive	48787524	47517210	581392	1852905	100244	33057	34055	25498	7634	7318128600	7098358243	29761198	2858317	334868	389418	1795413	338618	0.508852	0.504765	0.489435	47517210	47504834	46910902	7865	589323	1255	47509345	46915511	46909647	46908534	38469470	8439064	38469470	35431595	0.7415999999999999	2671362	0.9754	0.9775	17.9581	9339026	2303970	20551	258032	11921579	0.1932604732980421	retained	48787524	47517210	0.02603768127277785	0.00406677712660037	1.6120924685581505e-4	0.01207937914619319	2.572378954914785e-5	46908534	0.7885103986830732	0.8095902516162039	0.8200953370233228	0.9210315348768776
